Player,Team,Position,GW,FPTS,Ghost Points,Overperformance,HeatStreak,Negative Fpts,Ros Rank,LiveRkOv,LiveRkOvByPos,Ros RankByPos,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN
Kurt Zouma,WHU,D,8,4.0,4.0,-2,12.0,-4.0,111,95,21,19,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,2,0,62%,90
Christian Eriksen,MUN,M,8,4.0,4.0,9,10.5,-0.5,142,127,39,48,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,60%,45
Elijah Adebayo,LUT,F,8,4.0,4.0,0,4.5,0.0,200,194,42,42,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,7%,66
Cauley Woodrow,LUT,F,8,4.0,4.0,-14,9.0,0.0,200,266,56,42,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0%,22
Vinicius de Souza Costa,SHU,M,8,4.0,4.0,-4,13.0,-0.5,200,164,55,51,1,1,0,0,0,0,1,1,0,0,0,1,4,2,0,1,0,0,0,3,0,4%,90
Jarrod Bowen,WHU,M,8,4.0,4.0,6,38.5,0.0,18,12,3,9,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,100%,90
Matty Cash,AVL,D,8,4.0,4.0,-3,29.0,-2.5,67,73,15,12,1,1,0,0,0,1,2,1,0,0,0,2,2,0,0,0,0,0,0,1,0,98%,81
Joel Matip,LIV,D,8,3.5,3.5,-21,9.75,-2.5,200,201,50,29,1,1,0,0,0,0,1,1,0,0,0,1,4,0,2,1,0,0,0,1,0,26%,72
Gabriel Jesus,ARS,F,8,3.5,3.5,-31,25.0,-3.5,10,140,36,5,1,1,0,0,0,0,3,3,1,0,0,1,1,3,0,0,0,0,0,0,1,100%,90
Mads Andersen,LUT,D,8,3.5,3.5,-15,14.0,-2.0,200,178,44,29,1,1,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2%,58
